HDI rank;Country;1990;2000;2010;2015;2018;2019;2020;2021
174;Gambia;0,34;0,4;0,46;0,48;0,5;0,5;0,5;0,5
175;Ethiopia;..;0,29;0,41;0,46;0,49;0,5;0,5;0,5
176;Eritrea;..;..;0,46;0,48;0,49;0,5;0,49;0,49
177;Guinea-Bissau;..;..;0,44;0,47;0,48;0,49;0,48;0,48
178;Liberia;..;0,44;0,46;0,47;0,48;0,48;0,48;0,48
179;Congo, Democratic Republic of;0,39;0,38;0,43;0,46;0,48;0,48;0,48;0,48
180;Afghanistan;0,27;0,34;0,45;0,48;0,48;0,49;0,48;0,48
181;Sierra Leone;0,31;0,32;0,43;0,45;0,47;0,48;0,48;0,48
182;Guinea;0,27;0,35;0,42;0,44;0,46;0,47;0,47;0,47
183;Yemen;0,38;0,45;0,51;0,48;0,46;0,46;0,46;0,46
184;Burkina Faso;..;0,3;0,37;0,42;0,45;0,45;0,45;0,45
185;Mozambique;0,24;0,3;0,4;0,44;0,45;0,46;0,45;0,45
186;Mali;0,24;0,32;0,4;0,42;0,43;0,43;0,43;0,43
187;Burundi;0,29;0,3;0,41;0,43;0,43;0,43;0,43;0,43
188;Central African Republic;0,34;0,33;0,37;0,38;0,41;0,41;0,41;0,4
189;Niger;0,22;0,26;0,34;0,38;0,4;0,41;0,4;0,4
190;Chad;..;0,29;0,36;0,39;0,4;0,4;0,4;0,39
191;South Sudan;..;..;0,43;0,41;0,4;0,39;0,39;0,39
